"cliid","placa","datapedido"
"1918","DB32XPR","2018-01-24"
"1919","VP16JZT","2022-09-09"
"1920","AV92ONF","2021-10-13"
"1921","TX44ODZ","2014-08-23"
"1922","LP14YKK","2022-09-12"
"1923","FM41ZWC","2020-06-19"
"1924","ZX96EFX","2019-10-01"
"1925","GM71CIE","2023-11-21"
"1926","JG31VPW","2014-07-31"
"1927","IN94PCB","2015-08-26"
"1928","JM91VNZ","2013-11-10"
"1929","NM29YKO","2021-03-23"
"1930","PC94VCF","2022-08-28"
"1931","KD56QUQ","2018-07-19"
"1932","KH68VFP","2012-05-14"
"1933","GA46FGV","2013-07-22"
"1934","NM90HZE","2011-11-24"
"1935","BZ10VZQ","2012-06-22"
"1936","OK47OFZ","2019-09-03"
"1937","RB78DVY","2015-06-03"
"1938","XL38BUK","2019-11-29"
"1939","OT70MHG","2012-10-20"
"1940","CF31RTT","2016-07-24"
"1941","EX99ZNB","2019-12-18"
"1942","RR57LTG","2022-02-28"
"1943","UB83JHX","2018-04-18"
"1944","LL82LWW","2020-04-19"
"1945","QL89MYK","2017-10-13"
"1946","XN95TYZ","2013-05-22"
"1947","NX26ZAG","2022-09-16"
"1948","SJ96NII","2019-09-03"
"1949","GR47UJJ","2020-04-26"
"1950","ON68NDO","2011-07-21"
"1951","AJ06GCX","2022-03-02"
"1952","NJ63ZNB","2017-09-06"
"1953","ZS01HNP","2017-08-10"
"1954","GE19RXB","2011-01-24"
"1955","SZ85FPA","2010-10-10"
"1956","QS25EUG","2018-08-31"
"1957","TB89OQS","2013-08-10"
"1958","VN63UNC","2009-08-23"
"1959","UL82GEB","2016-01-10"
"1960","II90NBT","2023-07-09"
"1961","TL93UYN","2015-05-18"
"1962","AM77OIX","2009-10-23"
"1963","XX05SOU","2021-06-03"
"1964","CE24FTO","2014-08-04"
"1965","PD89CMP","2019-10-30"
"1966","VR28WZT","2020-11-26"
"1967","OD86BCX","2019-12-14"
"1968","HV38EDW","2019-05-28"
"1969","EQ05WCS","2013-05-05"
"1970","MV40BYD","2016-01-06"
"1971","LZ52GSX","2017-08-10"
"1972","YD44NXL","2018-04-09"
"1973","WN27CWE","2018-08-10"
"1974","XR58FVN","2020-11-19"
"1975","GE15IXV","2017-05-20"
"1976","JX65SKR","2023-01-16"
"1977","YO79FYD","2017-03-30"
"1978","US07WSM","2018-03-08"
"1979","HL35KJH","2010-06-13"
"1980","AM86PMK","2021-03-26"
"1981","IE60TCR","2021-12-19"
"1982","RS94QXO","2010-05-11"
"1983","GZ85IKT","2022-08-02"
"1984","EE47RAT","2023-10-03"
"1985","BD66XSX","2020-06-04"
"1986","KT99HGM","2023-07-08"
"1987","JE31TUQ","2020-09-15"
"1988","CZ68ZEX","2022-05-01"
"1989","FZ18WCT","2019-03-14"
"1990","ND61FNP","2017-04-02"
"1991","RQ43FWD","2011-04-12"
"1992","TH49OQJ","2010-02-02"
"1993","VD52VCR","2018-03-18"
"1994","YA85BAU","2017-05-01"
"1995","MQ56IIF","2021-09-30"
"1996","SM53CYB","2013-08-27"
"1997","TT80QSJ","2016-09-22"
"1998","FF34WAA","2010-04-07"
"1999","QN45RCK","2012-03-12"
"2000","YM29UBP","2015-08-30"
"2001","GJ51HLQ","2017-04-11"
"2002","SV47SDS","2013-01-24"
"2003","HQ93IGY","2016-07-06"
"2004","VF01CEP","2018-10-21"
"2005","RN00EDW","2019-10-02"
"2006","RI75RZC","2018-11-28"
"2007","BQ85OFS","2022-08-07"
"2008","ZR75GWW","2019-07-20"
"2009","YL66HXU","2016-11-29"
"2010","PK38ELE","2020-08-23"
"2011","AL79AMZ","2015-02-11"
"2012","JO60TRA","2017-05-29"
"2013","EW46UXU","2016-04-25"
"2014","VT72QEG","2023-01-06"
"2015","BJ30NUQ","2010-12-25"
"2016","LA70QBG","2017-02-09"
"2017","DA02NBG","2020-01-30"
"2018","GL51HPF","2019-12-21"
"2019","ZQ78YID","2019-09-15"
"2020","CP13PCU","2017-10-05"
"2021","FY32FZZ","2023-01-10"
"2022","CQ92ZYX","2015-10-31"
"2023","GB15DEJ","2020-12-02"
"2024","XW08QVM","2016-02-07"
"2025","PL90JHR","2021-07-25"
"2026","SK46IDZ","2018-04-03"
"2027","OC76WHQ","2014-06-26"
"2028","MN11ARI","2023-04-23"
"2029","AS42VYG","2018-05-29"
"2030","QH00RPW","2014-10-31"
"2031","GD20ICG","2012-02-21"
"2032","XV02BGL","2011-12-28"
"2033","WV91ERA","2020-03-22"
"2034","UH55QBT","2017-11-10"
"2035","BV53LEF","2010-10-07"
"2036","VM30XNR","2009-10-12"
"2037","WF41VBL","2011-04-05"
"2038","EZ13MLK","2014-03-04"
"2039","KO34LRY","2012-11-08"
"2040","JV27UNC","2011-05-24"
"2041","EA39JBF","2023-12-02"
"2042","TT17LZV","2015-04-29"
"2043","FO20FMC","2014-07-27"
"2044","MN91XBT","2015-06-28"
"2045","PC26GGK","2018-11-02"
"2046","DG45CTT","2017-01-05"
"2047","ZJ22VWL","2015-02-12"
"2048","QR30NTU","2019-07-28"
"2049","BS64WLP","2014-03-09"
"2050","ER63ESD","2016-07-13"
"2051","HJ72QBT","2011-11-03"
"2052","ED57MZA","2023-09-29"
"2053","CM61WRV","2018-01-05"
"2054","CF99PZA","2016-07-04"
"2055","GN03HUD","2015-01-11"
"2056","OA48EBL","2014-10-05"
"2057","XI67EWL","2020-06-02"
"2058","TW14ZAV","2020-08-29"
"2059","BQ94CRY","2013-09-05"
"2060","CC96EOH","2018-09-01"
"2061","ZW79TIC","2015-04-27"
"2062","RQ25TAO","2022-12-30"
"2063","JD85MAU","2015-08-08"
"2064","QU92DUM","2018-02-22"
"2065","CO94RQB","2016-03-11"
"2066","LY40WJI","2018-08-15"
"2067","ZC43SIW","2020-10-20"
"2068","LU90PUO","2024-02-12"
"2069","QT35PPT","2012-07-07"
"2070","LU04EER","2011-06-04"
"2071","NB46ECW","2012-06-08"
"2072","TY15BTE","2017-07-12"
"2073","DU22ERG","2014-01-21"
"2074","LS35PWY","2010-11-17"
"2075","CI07AJL","2016-06-18"
"2076","DM78KPE","2016-05-04"
"2077","SI65DEK","2015-12-13"
"2078","KZ24WCO","2015-12-24"
"2079","ME57IDY","2012-04-29"
"2080","LK51OGO","2010-06-10"
"2081","VF18YFE","2015-10-08"
"2082","FK31XOL","2011-02-20"
"2083","UV01YZY","2022-07-27"
"2084","RK56MQM","2023-10-14"
"2085","DM29NGS","2021-06-15"
"2086","IO91VQU","2014-06-09"
"2087","MD41NWY","2023-12-05"
"2088","OX99WBG","2013-09-24"
"2089","HG47TAH","2010-11-03"
"2090","TB71PWW","2015-03-25"
"2091","YS48FRQ","2014-05-26"
"2092","HD54NLL","2012-11-21"
"2093","BV33ANL","2020-06-19"
"2094","YC24JID","2011-02-14"
"2095","SU32SCR","2016-11-28"
"2096","JD04EPE","2021-01-31"
"2097","QP80HEI","2011-02-19"
"2098","DP62FPG","2018-10-22"
"2099","MD50HKD","2017-11-30"
"2100","VH21YBA","2012-07-15"
"2101","YV38KYO","2022-08-07"
"2102","YR95OFZ","2021-03-11"
"2103","KR61HPL","2016-03-13"
"2104","KY50JLA","2022-04-04"
"2105","NK79VEC","2019-11-08"
"2106","MJ16BJA","2013-12-29"
"2107","ID03MKE","2015-06-25"
"2108","PE60QPX","2017-11-16"
"2109","MD27IYX","2012-01-13"
"2110","VY63KGJ","2016-02-03"
"2111","YU34UIM","2021-06-07"
"2112","NS31QFP","2017-06-16"
"2113","UG99FLZ","2019-11-30"
"2114","TU74JQN","2018-01-04"
"2115","IL29UEH","2015-10-15"
"2116","NX73FUK","2016-02-12"
"2117","GG72OKI","2014-07-23"
"2118","NP17JCN","2014-06-14"
"2119","XH50ISC","2024-04-15"
"2120","SO16IPE","2018-04-12"
"2121","VG42WPG","2018-02-26"
"2122","XG13IMF","2015-12-24"
"2123","IV50NAT","2014-08-16"
"2124","DD10CPU","2024-01-09"
"2125","HU58ACG","2015-11-18"
"2126","MW98ADT","2012-01-19"
"2127","OA91IKC","2013-10-15"
"2128","WZ80KXD","2024-04-03"
"2129","ON63EOW","2024-04-07"
"2130","FI66HKR","2015-04-04"
"2131","CE30RAS","2018-09-23"
"2132","FN25ZIE","2013-01-11"
"2133","JY61RNZ","2014-05-25"
"2134","RQ64YNK","2018-01-18"
"2135","KK30JQD","2021-09-21"
"2136","FK52KFP","2022-11-21"
"2137","BH01PZB","2012-11-23"
"2138","WW31PAR","2009-09-09"
"2139","QJ03URR","2010-06-23"
"2140","XA78FNJ","2018-08-18"
"2141","TE91HXQ","2011-12-01"
"2142","XQ20UVL","2021-12-09"
"2143","HK30ZVW","2012-02-23"
"2144","VC36VAI","2019-01-07"
"2145","RM65EXE","2011-03-27"
"2146","RL09OIS","2012-02-08"
"2147","KX97IEZ","2011-09-28"
"2148","WC34SDF","2018-03-07"
"2149","KU95YDH","2022-02-24"
"2150","HD13GQO","2010-11-19"
"2151","NO51ZYF","2022-01-13"
"2152","UM95RXO","2022-02-14"
"2153","BH91NSF","2019-09-05"
"2154","QZ45RVF","2010-02-08"
"2155","NZ87RZV","2020-07-04"
"2156","ML16MQN","2012-07-30"
"2157","DY75GVE","2018-07-22"
"2158","DM76KBV","2013-05-15"
"2159","YU44PBT","2023-03-09"
"2160","AQ86HFN","2020-05-21"
"2161","GW26QSQ","2016-01-29"
"2162","YJ09ZCC","2013-08-09"
"2163","OR74YKM","2020-07-20"
"2164","FD63DFV","2010-07-03"
"2165","CW48JMW","2021-05-08"
"2166","LZ82SMD","2018-08-06"
"2167","IC73SCU","2012-12-22"
"2168","FJ24JPA","2019-04-26"
"2169","WT69GCB","2019-03-11"
"2170","KY51YUY","2019-10-01"
"2171","TX68MSB","2013-05-31"
"2172","VO79GTC","2015-03-08"
"2173","CD19ULG","2021-04-08"
"2174","YZ85AMB","2009-09-19"
"2175","HM67UCB","2014-08-14"
"2176","HO75THZ","2014-01-08"
"2177","JQ14WTK","2013-12-26"
"2178","NQ08IKH","2019-12-12"
"2179","PH46JGP","2017-02-16"
"2180","GC05GBK","2010-12-12"
"2181","RI04WHK","2017-01-03"
"2182","WQ62ENH","2014-07-07"
"2183","SI85QXZ","2017-12-13"
"2184","MT07QZD","2018-12-02"
"2185","IG31EZI","2012-03-08"
"2186","SA83ZRF","2011-05-03"
"2187","LE13HNQ","2009-12-25"
"2188","CG23TQU","2011-03-11"
"2189","VE72HFJ","2011-07-07"
"2190","TM60TZB","2021-05-20"
"2191","JD27ZMO","2013-11-24"
"2192","YJ29FBY","2015-09-06"
"2193","IQ88OGL","2013-03-27"
"2194","XA87JFU","2021-05-23"
"2195","CB54KAG","2018-11-18"
"2196","OK70FVC","2013-04-10"
"2197","UH33HZO","2020-03-19"
"2198","TU73SMK","2014-09-22"
"2199","YV78IPQ","2010-10-07"
"2200","EC87XKH","2014-12-17"
"2201","XO23ROA","2015-08-13"
"2202","KY95YRO","2023-08-26"
"2203","UY73NVE","2012-04-07"
"2204","EM79XXF","2018-04-20"
"2205","XI95YZU","2013-08-01"
"2206","WV35NNU","2017-12-28"
"2207","KJ65MCN","2021-11-16"
"2208","JI63CJL","2021-09-22"
"2209","BS84IWD","2012-06-23"
"2210","UC05MNO","2013-05-06"
"2211","LC52AGP","2014-11-27"
"2212","JV58FIF","2011-03-26"
"2213","UR62VFH","2013-08-26"
"2214","RL36JOA","2018-12-13"
"2215","MY44SJE","2017-06-11"
"2216","ON08EAI","2023-12-19"
"2217","KY30KII","2013-01-02"
"2218","SU86VVP","2017-05-18"
"2219","CB55ISW","2021-01-13"
"2220","GG79BZP","2011-09-07"
"2221","UR71THF","2017-08-28"
"2222","LH30URZ","2017-09-18"
"2223","ZP67KNA","2010-09-18"
"2224","TG87RIA","2021-09-27"
"2225","BR59LEQ","2012-11-10"
"2226","RE63TFY","2013-05-20"
"2227","GF05HLR","2016-05-14"
"2228","WS68LUH","2012-03-22"
"2229","ZV60DXV","2019-05-31"
"2230","TE45NPO","2020-08-19"
"2231","DA66POH","2020-09-16"
"2232","TX43RCU","2022-01-21"
"2233","HN89DAB","2020-05-18"
"2234","PU64EVM","2014-11-14"
"2235","AV93FAI","2013-08-28"
"2236","XR67ZLU","2017-02-02"
"2237","CE67HQQ","2011-12-20"
"2238","YN72UYK","2022-12-22"
"2239","LA56WAA","2010-04-05"
"2240","FB54QNN","2014-07-31"
"2241","LH44OFW","2017-07-18"
"2242","HG73OPR","2013-01-30"
"2243","XC72ZCM","2014-11-21"
"2244","TT03VJP","2011-02-23"
"2245","DU26ZHL","2021-05-07"
"2246","FJ92UNF","2016-10-09"
"2247","AO90HXY","2022-09-23"
"2248","RL13VPU","2021-12-23"
"2249","IL16WGX","2020-10-14"
"2250","EC42TVP","2022-07-27"
"2251","VF34XIN","2010-04-17"
"2252","JF08HKK","2010-03-21"
"2253","HM38RRT","2019-04-29"
"2254","LO00XLB","2013-07-21"
"2255","OW27XJP","2019-05-25"
"2256","QR60JUS","2024-03-10"
"2257","NJ08NQL","2011-06-27"
"2258","PR12WDD","2021-05-01"
"2259","UA40YKG","2022-08-18"
"2260","NY62YSU","2021-02-14"
"2261","QM29JGQ","2018-05-27"
"2262","OQ05RVN","2016-02-23"
"2263","DB10TRH","2015-03-17"
"2264","DQ26RAG","2023-09-12"
"2265","BU16NZJ","2013-05-15"
"2266","WS11HZW","2019-10-05"
"2267","HE92ZCZ","2019-03-07"
"2268","FZ78LVN","2022-01-02"
"2269","HI37EQK","2016-11-15"
"2270","OA84VKV","2021-10-30"
"2271","GJ86QUV","2022-10-24"
"2272","VC53NOL","2021-10-25"
"2273","MH78BRB","2017-09-03"
"2274","VX17GNX","2014-05-13"
"2275","OK17YIE","2015-07-21"
"2276","IH38JGF","2018-02-14"
"2277","MJ86ZKV","2013-06-29"
"2278","KH75ZNX","2022-08-05"
"2279","LV63ZRM","2014-01-11"
"2280","VH27YOI","2022-02-22"
"2281","NN33PJU","2018-02-02"
"2282","WM18KKR","2012-10-13"
"2283","AJ99JLS","2014-11-01"
"2284","HS62HCD","2011-05-04"
"2285","KY09WEI","2009-11-14"
"2286","AJ74QEB","2023-03-24"
"2287","AP91JXY","2022-10-04"
"2288","MD17KSG","2019-06-01"
"2289","GZ49UDZ","2015-11-02"
"2290","ZV60CPH","2018-01-25"
"2291","LV94VCE","2017-11-09"
"2292","ET67TAL","2013-05-01"
"2293","XY59COC","2009-09-26"
"2294","ZC42IUH","2012-02-22"
"2295","IZ07FXK","2017-04-20"
"2296","WF52WZD","2012-10-29"
"2297","IU26QNN","2014-12-11"
"2298","QB82KUY","2018-10-06"
"2299","EW77XCN","2009-11-13"
"2300","ED53SYO","2016-12-16"
"2301","WC73ZPB","2023-03-31"
"2302","VB68NPO","2009-10-05"
"2303","XU02MIS","2018-02-26"
"2304","RU09EQR","2019-04-21"
"2305","XL80FRK","2009-09-07"
"2306","CS63AZJ","2022-11-14"
"2307","LV66KLD","2023-11-09"
"2308","DO50PMS","2017-07-16"
"2309","QM83GDZ","2023-02-26"
"2310","DY07GJA","2016-03-03"
"2311","QE23UHC","2018-08-01"
"2312","AU07NXC","2020-09-04"
"2313","OB95BTQ","2018-09-24"
"2314","PY33YEK","2022-03-23"
"2315","SL05RQW","2010-06-02"
"2316","RJ65JQQ","2018-03-27"
"2317","RE83PRG","2011-06-23"
"2318","QO52UYA","2016-06-16"
"2319","YD61KYN","2011-09-16"
"2320","HM29FOQ","2018-07-06"
"2321","WQ32EAR","2020-12-28"
"2322","VD86OZX","2023-01-17"
"2323","OA90PRW","2022-04-09"
"2324","PS33MNI","2013-10-29"
"2325","BG95TVZ","2012-10-10"
"2326","GD39AUX","2019-11-20"
"2327","HY49EBP","2011-04-14"
"2328","KS17MOX","2012-08-26"
"2329","CA56CJT","2014-11-08"
"2330","IS39KPY","2014-05-24"
"2331","DP60JMN","2011-01-25"
"2332","AW80ZLE","2010-12-14"
"2333","BR06RTK","2011-06-16"
"2334","CA95VZW","2020-01-23"
"2335","CS15ICN","2016-03-20"
"2336","TR03OGB","2021-01-06"
"2337","XF32GVB","2015-07-31"
"2338","SY83LPS","2016-07-21"
"2339","QS47RRX","2019-04-10"
"2340","IB85KJF","2016-11-14"
"2341","ZU58FTE","2012-11-21"
"2342","EO76HWK","2019-01-19"
"2343","FM14QDD","2023-01-21"
"2344","PX47TPV","2018-12-08"
"2345","DV88MSG","2010-05-17"
"2346","AY33SYW","2010-09-23"
"2347","ZZ42FEO","2010-08-22"
"2348","LJ11HUD","2010-09-20"
"2349","OI35ZKW","2017-06-26"
"2350","KR12DEW","2021-05-22"
"2351","BQ67BUF","2020-07-21"
"2352","ST59CEA","2015-08-05"
"2353","GP10WTY","2021-05-17"
"2354","SM38MOF","2023-01-01"
"2355","WV49BOK","2021-11-24"
"2356","AB91JMI","2017-02-09"
"2357","MR73HDI","2012-05-08"
"2358","UH23AVA","2020-09-09"
"2359","VZ56AMA","2011-03-01"
"2360","MT83WVF","2023-08-06"
"2361","PP11EIN","2022-06-07"
"2362","LQ03OWP","2023-06-03"
"2363","PT88NCA","2020-09-28"
"2364","VF42TRX","2011-10-08"
"2365","VQ33UYI","2023-04-30"
"2366","UN38VSR","2010-08-19"
"2367","BV61HFU","2013-04-05"
"2368","SL22PKB","2014-09-21"
"2369","GQ21JNF","2023-04-18"
"2370","BZ43ARU","2014-02-22"
"2371","PA75CAK","2020-06-07"
"2372","PD71MRX","2013-01-19"
"2373","ZA45TCZ","2011-09-27"
"2374","GD80UFZ","2018-04-27"
"2375","AV01ZVV","2010-08-05"
"2376","UM09BZS","2010-05-04"
"2377","BE91WEM","2022-06-30"
"2378","XX46CPR","2020-04-21"
"2379","HA45HTR","2014-06-14"
"2380","OD53BTF","2012-01-03"
"2381","NW50PZA","2018-08-08"
"2382","HM16KPQ","2022-10-25"
"2383","QR45GFJ","2010-10-24"
"2384","EK56NYI","2020-02-24"
"2385","VM61KVG","2019-12-05"
"2386","WF71QKP","2009-08-21"
"2387","YA25KWL","2019-12-05"
"2388","XF71CFS","2016-10-23"
"2389","JN68ZWR","2014-10-15"
"2390","YZ13JEF","2010-04-16"
"2391","WC61ALX","2016-01-12"
"2392","LQ18HKC","2018-09-17"
"2393","DO67WCI","2018-01-05"
"2394","GA26SKB","2016-01-14"
"2395","BC50GON","2024-01-18"
"2396","WG05QBD","2016-01-22"
"2397","DH53DRH","2024-03-21"
"2398","OL44BYU","2019-11-01"
"2399","HC68AQS","2009-12-21"
"2400","ER64IAZ","2019-11-05"
"2401","AC49JDY","2014-06-18"
"2402","VW18GTP","2016-09-04"
"2403","GB03GCG","2020-01-17"
"2404","XI23UHR","2012-08-30"
"2405","SA66JPP","2014-10-18"
"2406","DE69HWW","2019-05-30"
"2407","LH49VTM","2018-01-04"
"2408","BO95BSJ","2017-01-14"
"2409","XA19ETP","2011-08-10"
"2410","XU29VJH","2022-02-10"
"2411","JB19EGJ","2011-11-06"
"2412","TG63LYN","2015-01-02"
"2413","FE47RGQ","2016-09-11"
"2414","WD35RVI","2016-11-04"
"2415","PC75UZB","2010-02-25"
"2416","LJ45IAF","2018-05-31"
"2417","FX39SPH","2021-02-28"
"2418","LB17NCJ","2017-07-29"
"2419","XD31SDK","2021-08-19"
"2420","RG87MHN","2010-05-31"
"2421","CG44DGA","2012-02-11"
"2422","SX66QAY","2017-06-15"
"2423","GG83KBL","2019-08-16"
"2424","LG66ELR","2016-05-02"
"2425","ML87OSS","2021-01-19"
"2426","ZJ04MUZ","2012-07-15"
"2427","II05IFZ","2023-11-24"
"2428","SG97FVW","2020-06-06"
"2429","VI76JJR","2018-04-22"
"2430","FC31VZJ","2022-03-27"
"2431","FD86XIS","2011-03-24"
"2432","LE12ELZ","2012-01-16"
"2433","XZ97QRD","2024-04-22"
"2434","QP08PKY","2009-09-15"
"2435","SU20FKR","2021-04-14"
"2436","IM27FHO","2022-01-12"
"2437","CN35KAE","2010-02-25"
"2438","GZ29UMG","2015-02-24"
"2439","OQ31KRE","2021-10-25"
"2440","FB15NJU","2014-09-11"
"2441","VS56GLP","2010-11-06"
"2442","PS59QGE","2022-04-28"
"2443","AC24BEB","2012-08-22"
"2444","SI49AFA","2011-02-27"
"2445","KY19CIA","2013-10-19"
"2446","OU29RHD","2013-11-16"
"2447","RQ04DWE","2021-03-21"
"2448","CJ24OYN","2011-01-30"
"2449","LC58XRZ","2015-06-15"
"2450","ZO77DGJ","2018-01-13"
"2451","SC13QHR","2012-12-27"
"2452","QD35RXJ","2012-08-02"
"2453","NH13FFP","2014-11-25"
"2454","ZK43DRS","2016-07-22"
"2455","SV99VTR","2023-04-28"
"2456","JD74ADG","2021-10-28"
"2457","NH68RHS","2013-12-07"
"2458","JL79IDI","2020-11-22"
"2459","WL95YQV","2011-05-27"
"2460","OV54FAB","2016-03-03"
"2461","UJ63UYH","2022-08-04"
"2462","LN21IQW","2011-05-17"
"2463","SV19JME","2022-08-29"
"2464","FH52LSU","2011-03-24"
"2465","SB99AWW","2019-04-20"
"2466","TR43OXC","2010-11-27"
"2467","JI35CCZ","2014-03-01"
"2468","IZ39HLZ","2019-05-25"
"2469","UF05VNL","2012-08-15"
"2470","BF05NZY","2022-08-13"
"2471","KL99OWI","2011-03-14"
"2472","GN93LLW","2015-08-19"
"2473","OX48IYW","2021-10-14"
"2474","FF99KSF","2017-10-29"
"2475","GD16CIZ","2018-10-23"
"2476","JA05ORS","2019-04-09"
"2477","EU40WDY","2011-11-15"
"2478","YO35SOD","2009-11-28"
"2479","PJ01QDB","2019-10-15"
"2480","FE47WQA","2023-01-02"
"2481","IZ90RPO","2012-06-23"
"2482","LN24FIV","2016-01-31"
"2483","SR17UMN","2018-10-28"
"2484","IH66HAP","2023-06-13"
"2485","HF26WGJ","2018-02-21"
"2486","RH98SOL","2015-02-12"
"2487","OC06XOH","2018-04-13"
"2488","YS07IDV","2015-02-13"
"2489","HS40DWS","2014-11-06"
"2490","ZM83HQQ","2022-02-28"
"2491","UC01OBM","2017-04-20"
"2492","LP77DAH","2013-09-08"
"2493","PE36ZEP","2016-10-16"
"2494","QF57XVZ","2013-04-27"
"2495","RH41IKE","2023-02-11"
"2496","PV75UBT","2012-01-12"
"2497","QW82AOO","2014-02-05"
"2498","VE58UYJ","2014-08-27"
"2499","PJ29CJX","2013-06-17"
"2500","SL30JLR","2012-09-10"
"2501","DG95UGN","2011-03-23"
"2502","SZ69NWN","2017-11-21"
"2503","CU06MRC","2017-04-08"
"2504","KA38RLS","2018-05-14"
"2505","ZU39EFE","2016-08-29"
"2506","VA99HLG","2016-04-05"
"2507","SK76AGN","2013-02-09"
"2508","QZ28PRB","2010-10-09"
"2509","KD24UJI","2018-05-27"
"2510","OX22NTR","2013-10-22"
"2511","UT51EJD","2017-08-09"
"2512","UX51NOF","2012-03-26"
"2513","DN67KRJ","2014-05-20"
"2514","DH89OIN","2016-07-06"
"2515","MB68WAQ","2015-09-11"
"2516","DM87IAE","2011-02-11"
"2517","GW59EFW","2015-10-01"
"2518","DF18OEV","2019-07-22"
"2519","QO83MGG","2019-12-14"
"2520","OW19CSD","2020-01-13"
"2521","VF43ABC","2012-06-14"
"2522","KX68HBB","2020-10-07"
"2523","MB95NAQ","2009-12-10"
"2524","MK02LOM","2023-06-01"
"2525","ZO04YMG","2021-10-02"
"2526","SC92MPP","2017-12-08"
"2527","IR22FFH","2013-06-29"
"2528","SZ11YLO","2017-11-16"
"2529","LF02LUR","2017-08-27"
"2530","YG62NTK","2015-05-02"
"2531","RQ42RPL","2016-10-03"
"2532","FF30CQY","2020-06-11"
"2533","AS14LMB","2015-03-17"
"2534","WP92DYT","2021-09-01"
"2535","PU43SQJ","2016-08-10"
"2536","HS37AMT","2014-01-12"
"2537","VG26SFG","2021-08-19"
"2538","VZ11EYM","2022-12-22"
"2539","WN97SEN","2010-11-21"
"2540","BO44CWH","2010-01-25"
"2541","XA62SHL","2014-06-20"
"2542","JH30ZPI","2017-10-24"
"2543","QT83MRD","2011-09-18"
"2544","PQ15QJL","2012-11-18"
"2545","AE81XDN","2019-12-28"
"2546","EF57ZCW","2010-11-05"
"2547","EH16YNI","2014-06-06"
"2548","KI85NVC","2012-08-28"
"2549","XS82KMF","2014-12-22"
"2550","KL90HTJ","2010-02-13"
"2551","KM45HCE","2017-08-22"
"2552","VQ44KFN","2009-11-21"
"2553","MG06ROC","2014-04-08"
"2554","XT61DDU","2015-04-10"
"2555","NP91UCP","2017-10-05"
"2556","IU70FGG","2018-06-11"
"2557","SU35LLH","2022-03-01"
"2558","BM02GQU","2013-12-10"
"2559","OL85KGH","2022-07-13"
"2560","XV56HJL","2021-03-07"
"2561","PW33PFH","2022-04-21"
"2562","LR54DDS","2023-09-15"
"2563","LH32BCK","2014-11-28"
"2564","EY43QGA","2015-09-06"
"2565","LR04EER","2014-10-08"
"2566","XL40TLS","2013-10-29"
"2567","OW40ADF","2015-04-29"
"2568","OA90XGX","2013-03-23"
"2569","UC55PXO","2021-10-18"
"2570","QT72HBZ","2014-01-21"
"2571","DN32JRT","2021-12-13"
"2572","DK76REW","2017-11-12"
"2573","IU05VAO","2023-06-26"
"2574","YE32QSR","2014-11-29"
"2575","JS87SSS","2012-04-30"
"2576","DR11EZZ","2011-06-15"
"2577","AJ40AMH","2017-01-26"
"2578","TB30MRJ","2017-08-23"
"2579","GC32GGA","2018-01-31"
"2580","ZH52YZH","2012-11-07"
"2581","ZV43RSA","2010-05-07"
"2582","MB97ZSC","2023-12-17"
"2583","XI24GRL","2020-10-20"
"2584","HW00JQD","2015-08-21"
"2585","SO47ISY","2016-09-02"
"2586","TQ22XHE","2014-03-29"
"2587","PT99LXR","2017-10-31"
"2588","RN05GYX","2014-02-03"
"2589","OH81XBN","2022-03-07"
"2590","ME83GRV","2022-09-16"
"2591","MC14ICY","2019-11-08"
"2592","DH21ODF","2015-10-06"
"2593","QJ42EHL","2019-01-15"
"2594","RI70NXE","2022-03-09"
"2595","PJ28GDA","2013-07-15"
"2596","IA36MIM","2020-04-09"
"2597","LX52EXA","2020-06-30"
"2598","KB57ARQ","2016-12-31"
"2599","NU30YDR","2011-05-27"
"2600","KO04ZJE","2014-05-15"
"2601","GY84JTU","2017-11-23"
"2602","TD61XLR","2021-10-17"
"2603","TT12LSM","2016-05-21"
"2604","IL09JCL","2018-03-01"
"2605","QE62KBD","2023-07-26"
"2606","XQ52YKK","2020-08-13"
"2607","OF28YGJ","2018-05-13"
"2608","QX08CGK","2018-05-09"
"2609","XC16VUU","2021-03-12"
"2610","WU39IKK","2011-05-05"
"2611","JM71LNP","2022-02-07"
"2612","VZ23KUD","2018-11-16"
"2613","MM81MQH","2010-11-10"
"2614","JH44TZA","2011-04-20"
"2615","KC89VMH","2016-12-17"
"2616","CK05GQW","2022-07-30"
"2617","PN94TOY","2023-08-25"
"2618","DL18ZMO","2023-03-20"
"2619","QO45BPO","2020-10-15"
"2620","WN95YMN","2021-05-30"
"2621","UK38WLF","2010-10-01"
"2622","TQ52SXJ","2018-11-05"
"2623","QO16HPN","2013-06-17"
"2624","UE34JUU","2019-07-14"
"2625","PN06YOH","2014-10-19"
"2626","YE97QOY","2022-09-05"
"2627","NM66LPD","2021-05-04"
"2628","HL25PNZ","2014-03-05"
"2629","NT33THO","2023-05-02"
"2630","XX49ZNL","2018-07-02"
"2631","FI99JIT","2016-01-17"
"2632","WM42MAC","2015-07-25"
"2633","XO51WQB","2024-03-07"
"2634","VU72CNB","2021-05-07"
"2635","YX13HYL","2011-02-13"
"2636","FR15VQY","2018-03-15"
"2637","JS38RLH","2019-03-09"
"2638","WF65VWQ","2014-10-06"
"2639","AW51EFF","2021-01-23"
"2640","CG00UQF","2012-08-30"
"2641","KJ33MXD","2021-01-15"
"2642","VK50JOJ","2020-03-24"
